,informativeness,understandability,confusion,distraction,readability,infDensity,accessibility,usability
multiplyHoveredText_total_abs,0.0263377787,-0.1113233284,-0.1805620793,-0.1212458096,-0.1399202673,0.1366308383,-0.173313375,-0.1347709937
multiplyHoveredText_.serpResults_abs,0.0284792099,-0.1064969664,-0.1747690037,-0.1187990791,-0.1330762378,0.1377099842,-0.170205178,-0.1284228131
multiplyHoveredText_.serpResults_rel,0.0841003623,-0.0560942799,-0.1886545907,-0.1554050768,-0.1097674578,-0.0340091779,-0.0389264352,-0.1184814051
pageDwellTime_total_abs,0.0939581603,-0.0328769621,-0.1435090155,-0.1844091735,-0.206147232,-0.1136313793,-0.1359934406,-0.1674042643
scrollingDirectionChanges_total_abs,-0.0935566748,-0.0465214175,-0.3163076522,-0.1902114349,-0.1355478372,-0.2142785803,-0.3086440642,-0.3179515418
scrollingMaxY_total_abs,-0.1151481985,-0.1331647962,-0.4440763518,-0.2002587796,-0.0624857146,-0.2697548605,-0.2432148282,-0.3626074329
scrollingPixelAmount_total_abs,-0.1239528956,-0.0977597164,-0.334805364,-0.1852076763,-0.0998144953,-0.1816513059,-0.2229555713,-0.3073794131
scrollingSpeed_total_abs,0.0807066367,0.1457776201,-0.0106642238,0.0950683224,0.2211600767,-0.0737540327,0.1107150323,0.1349948132
textSelections_total_abs,-0.0975697132,-0.0518278231,0.1687867002,-0.1974942566,-0.2745875262,-0.1701026408,-0.0380871782,-0.1535987976
textSelections_.serpResults_abs,NA,NA,NA,NA,NA,NA,NA,NA
textSelections_.serpResults_rel,-0.0579818277,-0.1193112535,0.1487166595,-0.1259018348,-0.381818752,-0.1135879357,-0.0401301563,-0.1567362384
textSelectionLength_total_abs,-0.0589150263,-0.1897020576,0.2123561994,-0.0229537625,-0.3876522547,-0.1683594615,0.0513926849,-0.1246325314
textSelectionLength_.serpResults_abs,NA,NA,NA,NA,NA,NA,NA,NA
textSelectionLength_.serpResults_rel,-0.0579818277,-0.1193112535,0.1487166595,-0.1259018348,-0.381818752,-0.1135879357,-0.0401301563,-0.1567362384
